Board Name,School Number,School Name,School Language,Street,City,Postal Code,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education
Toronto CDSB,738115,Notre Dame Catholic High School,English,12 Malvern,Toronto,M4E3E1,703,43.68088,-79.29292,30.3,2.6,16.1,2.1,0.92,1,0.53,0.86,-5,27.14,13.78
Toronto CDSB,763772,Senator O'Connor College School,English,60 Rowena,Toronto,M3A3R2,1271,43.75073,-79.31672,33.9,5.4,20.5,6,0.72,-11,0.32,0.8,-4,26.49,15.8
Toronto CDSB,751537,St John Paul II Catholic Secondary School,English,685 Military,Toronto,M1E4P6,1351,43.79031,-79.199,29.1,3.9,16.2,2.1,0.83,1,0.37,0.85,5,24.76,12.06
Toronto CDSB,814954,St Joseph's College School,English,74 Wellesley,Toronto,M5S1C4,817,43.66418,-79.38856,36,5.5,15.1,2.4,0.91,-1,0.34,0.86,-7,30.61,8.16
Toronto CDSB,689831,St Mary Catholic Academy Secondary School,English,66 Dufferin Park,Toronto,M6H1J6,636,43.65775,-79.43181,55.2,31,23.6,1.7,0.9,8,0.79,0.72,-11,28.55,4.83
Toronto CDSB,834718,St Michael's Choir (Sr) School,English,67 Bond,Toronto,M5B1X2,95,43.65521,-79.37795,23.2,NA,38.9,34.7,0.96,0,N/D,1,0,20.25,20.67
Toronto CDSB,733024,St Mother Teresa Catholic Academy Secondary School,English,40 Sewells,Toronto,M1B3G5,522,43.80931,-79.21394,23,11.9,20.5,SP,0.9,19,0.53,0.79,-6,28.54,8.6
Toronto CDSB,838268,St Patrick Catholic Secondary School,English,49 Felstead,Toronto,M4J1G3,716,43.67851,-79.32822,48.9,22.9,27.2,SP,0.89,-7,0.67,0.79,1,35.73,13.14
Toronto CDSB,776360,St. Basil-the-Great College School,English,20 Starview,Toronto,M9M3B2,1255,43.72736,-79.53286,38.2,4.3,25.3,2.2,0.84,17,0.41,0.76,4,27.67,3.35
Toronto CDSB,815160,St. Joseph Morrow Park Catholic Secondary School,English,3379 Bayview,Toronto,M2M3S4,503,43.79666,-79.39455,57.3,22.9,11.7,SP,0.7,-9,0.32,0.83,3,29.61,23.52
Toronto DSB,890227,A Y Jackson Secondary School,English,50 Francine,Toronto,M2H2G6,854,43.80522,-79.36656,76.5,11.9,15.3,4.9,0.92,NA,0.59,0.91,-2,30.29,24.67
Toronto DSB,890723,Agincourt Collegiate Institute,English,2621 Midland,Agincourt,M1S1R6,1318,43.78887,-79.2789,69.7,6.7,14.4,0.8,0.91,-3,0.52,0.93,0,29.71,12.81
Toronto DSB,890880,Albert Campbell Collegiate Institute,English,1550 Sandhurst,Toronto,M1V1S6,1248,43.80916,-79.27227,83.5,14.2,14.1,SP,0.85,-3,0.36,0.78,-5,29.44,14.78
Toronto DSB,901908,ALPHA II Alternative School,English,1141 Bloor,Toronto,M6H1M9,49,43.659089,-79.4350495,SP,NA,24.5,SP,NA,NA,NA,N/R,NA,28.12,SP
Toronto DSB,892475,Alternative Scarborough Education 1,English,60 BrimortonDr,Scarborough,M1P3Z1,143,43.76664,-79.25478,23.8,SP,22.4,SP,NA,NA,NA,N/R,NA,25.98,12.36
Toronto DSB,890120,Avondale Secondary Alternative School,English,171 Avondale,North York,M2N2V4,71,43.78631,-79.41188,21.1,NA,43.7,SP,N/R,NA,N/R,0.86,24,24.18,20.61
Toronto DSB,894621,Bendale Business & Technical Institute,English,1555 Midland,Scarborough,M1P3C1,391,43.75533,-79.26473,18.2,SP,84.9,SP,0.2,NA,0.19,0.1,1,33.11,10.79
Toronto DSB,895016,Birchmount Park Collegiate Institute,English,3663 Danforth,Scarborough,M1N2G2,873,43.69775,-79.25944,33.6,5.5,28.6,SP,0.72,25,0.25,0.68,-9,30.45,12.11
Toronto DSB,895407,Bloor Collegiate Institute,English,1141 Bloor,Toronto,M6H1M9,589,43.65905,-79.43698,55.2,3.2,29.4,11.2,0.93,-1,0.35,0.91,-3,28.73,7.5
Toronto DSB,897485,Burnhamthorpe Collegiate Institute,English,500 The East,Etobicoke,M9B2C4,434,43.64882,-79.5621,41.5,7.8,3.9,SP,NA,NA,NA,N/R,NA,29.48,10.39
Toronto DSB,897744,C W Jefferys Collegiate Institute,English,340 Sentinel,North York,M3J1T9,705,43.75767,-79.50008,57.7,11.8,18,SP,0.77,-3,0.8,0.76,3,32.21,6.15
Toronto DSB,890529,CALC Secondary School,English,1 Danforth,Toronto,M4K1M8,521,43.67543,-79.35999,51.8,21.7,4.4,NA,NA,NA,NA,N/R,NA,35.48,13.5
Toronto DSB,912651,Caring and Safe Schools LC1,English,640 Lawrence,North York,M6L1C7,NA,43.71947,-79.56615,NA,NA,SP,NA,NA,NA,NA,NA,NA,SP,SP
Toronto DSB,909300,Caring and Safe Schools LC2,English,640 Pharmacy Avenue,Toronto,M6A1B1,13,43.76775248,-79.31386038,SP,SP,SP,NA,NA,NA,NA,NA,NA,SP,SP
Toronto DSB,899704,Caring and Safe Schools LC3,English,720 Pharmacy Avenue,Toronto,M6A1B1,NA,43.728298,-79.256075,SP,NA,SP,NA,NA,NA,NA,NA,NA,SP,SP
Toronto DSB,952524,Caring and Safe Schools LC4,English,640 Randolph,Toronto,M6P4G4,NA,43.65817,-79.438,SP,NA,SP,NA,NA,NA,NA,NA,NA,SP,SP
Toronto DSB,899178,Cedarbrae Collegiate Institute,English,550 Markham,Scarborough,M1H2A2,1241,43.75633,-79.22591,53.7,8.7,18.4,SP,0.4,-10,0.21,0.67,-1,32.8,11.77
Toronto DSB,952842,Central Etobicoke High School,English,10 Denfield,Toronto,M9R3H1,156,43.67901,-79.55548,39.1,SP,100,NA,NA,NA,NA,N/R,NA,32.34,9.81
Toronto DSB,900087,Central Technical School,English,725 Bathurst,Toronto,M5S2R5,1475,43.66293,-79.40824,41.4,11.5,39.3,SP,0.49,-7,0.13,0.56,4,34.19,5.39
Toronto DSB,899437,Central Toronto Academy,English,570 Shaw,Toronto,M6G3L6,326,43.65797,-79.42199,55.8,23.3,28.5,SP,0.54,-4,0.15,0.71,11,34.74,4.6
Toronto DSB,901474,City School,English,635 Queen's,Toronto,M5V3G3,105,43.63586,-79.39711,14.3,NA,30.5,SP,0.06,NA,N/D,0.69,NA,25.12,11.75
Toronto DSB,902640,Contact Alternative School,English,132 Saint Patrick,Toronto,M5T1V1,179,43.65373,-79.39034,18.4,SP,27.9,SP,N/R,NA,N/R,N/R,NA,33.25,6.95
Toronto DSB,903469,Danforth Collegiate Institute and Technical School,English,800 Greenwood,Toronto,M4J4B7,883,43.68283,-79.33408,34.5,2.2,46.7,3.6,0.81,8,0.13,0.73,6,31.99,11.51
Toronto DSB,903590,David and Mary Thomson Collegiate Institute,English,2740 Lawrence,Scarborough,M1P2S7,974,43.7536,-79.25957,57.7,9.7,19.7,NA,0.6,-4,0.17,0.61,-10,34.74,13.41
Toronto DSB,892483,Delphi Secondary Alternative School,English,109A Chartland,Scarborough,M1S2R7,103,43.80006,-79.27799,43.7,SP,22.3,SP,0.68,-27,N/R,1,10,26.66,12.86
Toronto DSB,904112,Don Mills Collegiate Institute,English,15 The Donway E,North York,M3C1X6,1089,43.73595,-79.33927,59,7.4,35.1,22.6,0.89,0,0.18,0.88,5,27.14,20.38
Toronto DSB,904635,Downsview Secondary School,English,7 Hawksdale,North York,M3K1W3,574,43.73077,-79.47884,41.1,25.6,38.3,SP,0.5,9,0.33,0.45,-11,30.93,3.24
Toronto DSB,937592,Dr Norman Bethune Collegiate Institute,English,200 Fundy Bay,Toronto,M1W3G1,1012,43.81216,-79.31942,84.7,15.1,10.4,SP,0.93,-2,0.41,0.86,-1,27.09,12.93
Toronto DSB,922706,Drewry Secondary School,English,70 Drewry,North York,M2M1C8,138,43.78697,-79.4212,33.3,SP,100,NA,NA,NA,NA,N/R,NA,28.54,24.35
Toronto DSB,906450,Earl Haig Secondary School,English,100 Princess,North York,M2N3R7,2036,43.76941,-79.40618,61.8,18.8,14.1,5.9,0.94,0,0.41,0.93,0,32.71,23.6
Toronto DSB,906875,East York Alternative Secondary School,English,670 Cosburn,East York,M4C2V2,130,43.69494,-79.32528,18.5,SP,43.1,NA,NA,NA,NA,N/R,NA,31.08,11.88
Toronto DSB,906840,East York Collegiate Institute,English,650 Cosburn,East York,M4C2V2,1007,43.69503,-79.32756,47.1,9.6,23.2,NA,0.61,-6,0.24,0.66,-5,29.73,13.36
Toronto DSB,907103,Eastdale Collegiate Institute,English,701 Gerrard,Toronto,M4M1Y4,134,43.66592,-79.34881,21.6,SP,88.8,NA,NA,NA,NA,N/R,NA,34.93,10.5
Toronto DSB,908665,Emery Collegiate Institute,English,3395 Weston,North York,M9M2V9,709,43.74865,-79.53873,58.3,15.9,23.4,SP,0.37,-2,0.13,0.59,-8,34.69,7.06
Toronto DSB,954167,Emery EdVance Secondary School,English,3395 Weston,Toronto,M9M2V9,148,43.74848,-79.53944,46.6,30.4,7.4,NA,NA,NA,NA,N/R,NA,35.9,7.73
Toronto DSB,909572,Etobicoke Collegiate Institute,English,86 Montgomery,Etobicoke,M9A3N5,962,43.65008,-79.52229,33,5.9,22.2,2.3,0.93,-1,0.56,0.85,2,19.49,17.16
Toronto DSB,909602,Etobicoke School of the Arts,English,675 Royal York,Toronto,M8Y2T1,954,43.63089,-79.50353,9.5,SP,24.7,8.1,0.92,1,0.63,0.97,0,17.54,14.57
Toronto DSB,924246,Etobicoke Year Round Alternative Centre,English,160 Silverhill Drive,Toronto,M9B3W7,37,43.63376,-79.55125,SP,NA,45.9,NA,NA,NA,NA,N/D,NA,28.05,SP
Toronto DSB,943062,First Nations School of Toronto,English,NA,Toronto,M4J3T2,NA,43.67907523,-79.33703884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto DSB,910481,Forest Hill Collegiate Institute,English,730 Eglinton,Toronto,M5N1B9,953,43.70305,-79.42133,42.2,17,15.2,SP,0.93,4,0.51,0.89,-4,19.51,18.89
Toronto DSB,911070,Frank Oke Secondary School,English,500 Alliance,Toronto,M6N2H8,107,43.6731,-79.49907,31.8,SP,100,NA,NA,NA,NA,N/R,NA,29.43,SP
Toronto DSB,912174,George Harvey Collegiate Institute,English,1700 Keele,Toronto,M6M3W5,608,43.68437,-79.47327,51.8,19.6,21.4,SP,0.62,6,0.34,0.73,-8,32.32,4.24
Toronto DSB,912301,George S Henry Academy,English,200 Graydon Hall,North York,M3A3A6,514,43.76435,-79.33991,66.7,26.7,22.4,SP,0.62,-9,0.16,0.75,-4,36.2,18.6
Toronto DSB,912360,Georges Vanier Secondary School,English,3000 Don Mills,North York,M2J3B6,613,43.78336,-79.35096,56.6,21.7,18.8,SP,0.74,NA,0.2,0.62,-12,32.9,27.17
Toronto DSB,943940,Greenwood Secondary School,English,24 Mountjoy,Toronto,M4J1J6,245,43.68078,-79.33058,91.8,83.3,5.3,NA,0.53,-9,0.34,N/R,NA,36.68,14.5
Toronto DSB,915688,Harbord Collegiate Institute,English,286 Harbord,Toronto,M6G1G5,1122,43.66128,-79.41425,35.4,1.7,19.8,2.8,0.79,-9,0.33,0.9,-2,28.28,5.15
Toronto DSB,916463,Heydon Park Secondary School,English,70 D'Arcy,Toronto,M5T1K1,149,43.65496,-79.39452,27.5,SP,96.6,NA,N/R,NA,N/R,0.29,2,32.17,8.97
Toronto DSB,917630,Humberside Collegiate Institute,English,280 Quebec,Toronto,M6P2V3,1173,43.65994,-79.47063,21.1,1.9,11.2,3.3,0.89,-1,0.38,0.92,-1,19.71,14.51
Toronto DSB,918237,Inglenook Community School,English,19 Sackville,Toronto,M5A3E1,77,43.65397,-79.35939,14.3,NA,36.4,SP,NA,NA,NA,N/R,NA,24.45,14.8
Toronto DSB,918547,Jarvis Collegiate Institute,English,495 Jarvis,Toronto,M4Y2G8,751,43.66574,-79.37701,69,12.8,10.8,NA,0.55,-18,0.06,0.75,1,46.9,5.88
Toronto DSB,906736,John Polanyi Collegiate Institute,English,640 Lawrence Avenue West,Toronto,M6A1B1,787,43.71749,-79.43995,55.4,26.3,20.2,SP,0.6,8,0.07,0.8,6,30.88,9.58
Toronto DSB,920231,Kipling Collegiate Institute,English,380 The Westway,Etobicoke,M9R1H4,385,43.68528,-79.56234,68.8,17.7,20.3,SP,0.53,-4,0.15,0.53,-4,39.4,18.81
Toronto DSB,921092,Lakeshore Collegiate Institute,English,350 Kipling,Etobicoke,M8V3L1,667,43.60156,-79.51915,26.4,7.8,35.1,SP,0.64,7,0.4,0.69,7,25.23,5.67
Toronto DSB,920576,L'Amoreaux Collegiate Institute,English,2501 Bridletowne,Agincourt,M1W2K1,666,43.80291,-79.31806,79,12.6,20.3,SP,0.9,-1,0.27,0.79,5,30.92,21.72
Toronto DSB,922056,Lawrence Park Collegiate Institute,English,125 Chatsworth,Toronto,M4R1S1,1285,43.72222,-79.41043,14.8,1.2,13,2.7,0.89,3,N/R,0.98,1,13.03,32.51
Toronto DSB,922315,Leaside High School,English,200 Hanna,East York,M4G3N8,976,43.71107,-79.37291,24.3,1.3,10.7,2,0.88,7,0.4,0.96,-2,17.78,20.95
Toronto DSB,922498,Lester B Pearson Collegiate Institute,English,150 Tapscott,Scarborough,M1B2L2,1313,43.80349,-79.22567,62.2,4.3,18.4,NA,0.77,-4,0.14,0.76,1,27.51,14.76
Toronto DSB,924520,Malvern Collegiate Institute,English,55 Malvern,Toronto,M4E3E4,1052,43.68291,-79.29292,6.9,1.1,13.6,2.3,0.88,-3,0.35,0.95,2,16.4,15.66
Toronto DSB,924695,Maplewood High School,English,120 Galloway,West Hill,M1E1W7,172,43.75889,-79.19488,39,SP,100,NA,NA,NA,NA,N/R,NA,33.88,14.36
Toronto DSB,933198,Marc Garneau Collegiate Institute,English,135 Overlea,Toronto,M3C1B3,1667,43.70897,-79.33496,85.5,19.4,16.1,5.1,0.88,-1,0.44,0.79,1,44.55,31.2
Toronto DSB,925136,Martingrove Collegiate Institute,English,50 Winterton,Etobicoke,M9B3G7,1168,43.67338,-79.56073,44.9,4.5,30.2,18.4,0.8,-10,0.29,0.82,-2,25.02,12.04
Toronto DSB,927384,Monarch Park Collegiate Institute,English,1 Hanson,Toronto,M4J1G6,866,43.67914,-79.32337,37.9,7.6,28.3,4.6,0.77,-4,0.14,0.83,-1,27.25,9.32
Toronto DSB,927708,Native Learning Centre,English,83 Alexander,Toronto,M4Y1B7,34,43.66361,-79.37945,SP,NA,44.1,SP,N/D,NA,N/R,N/R,NA,SP,SP
Toronto DSB,915166,Native Learning Centre East,English,NA,Scarborough,M1E1P5,13,43.74755508,-79.19912177,SP,NA,SP,NA,NA,NA,NA,N/R,NA,SP,SP
Toronto DSB,928810,Newtonbrook Secondary School,English,155 Hilda,Toronto,M2M1V6,886,43.79354,-79.42623,67.4,26.1,10.6,SP,0.69,-7,0.25,0.76,5,30.46,21.63
Toronto DSB,929468,North Albion Collegiate Institute,English,2580 Kipling,Toronto,M9V3B2,976,43.74713,-79.58513,63,12.4,19.6,SP,0.76,5,0.12,0.75,6,32.74,15.97
Toronto DSB,966722,North East Year Round Alternative Centre,English,2900 Don Mills,Toronto,M2J3B6,43,43.782646,-79.349081,60.5,SP,41.9,NA,N/R,NA,N/R,N/R,NA,39.12,25.32
Toronto DSB,930504,North Toronto Collegiate Institute,English,17 Broadway,Toronto,M4P1T7,1203,43.70993,-79.39607,25.5,5.6,16.5,2.9,0.9,-4,0.43,0.98,3,19.7,24.71
Toronto DSB,932812,North West Year Round Alternative Centre,English,425 Patricia,NORTH YORK,M2R2N1,80,43.78521103,-79.44086156,27.5,NA,46.3,SP,NA,NA,NA,N/R,NA,35.06,13.42
Toronto DSB,930768,Northern Secondary School,English,851 Mount Pleasant,Toronto,M4P2L5,1896,43.71053,-79.39015,19,2,54.9,32.8,0.87,1,0.45,0.9,-1,20.53,18.95
Toronto DSB,931020,Northview Heights Secondary School,English,550 Finch,Toronto,M2R1N6,1547,43.77442,-79.44631,69.6,16.2,16,1.1,0.89,-4,0.32,0.8,-6,29.06,15.82
Toronto DSB,932191,Oakwood Collegiate Institute,English,991 St Clair,Toronto,M6E1A3,491,43.67865,-79.43637,23,SP,40.1,SP,0.57,-7,0.15,0.68,-7,26.76,6.39
Toronto DSB,932116,Oasis Alternative,English,20 Brant,Toronto,M5V2M1,101,43.64567,-79.39814,SP,NA,50.5,SP,N/R,NA,N/R,0.62,-8,28.35,9.93
Toronto DSB,933759,Parkdale Collegiate Institute,English,209 Jameson,Toronto,M6K2Y3,537,43.63965,-79.43606,60,14.5,24,5.4,0.74,0,0.32,0.79,11,31.56,2.96
Toronto DSB,939480,Parkview Alternative School,English,1641 Pharmacy,Scarborough,M1R2L2,96,43.76749,-79.31314,16.7,SP,33.3,NA,NA,NA,NA,N/D,NA,33.11,10.9
Toronto DSB,935476,Pleasant View Junior High School,English,175 Brian,Toronto,M2J3Y8,74,43.78735,-79.33386,59.5,SP,23,NA,1,0,0.69,NA,NA,26.68,17.42
Toronto DSB,937266,R H King Academy,English,3800 St Clair,Toronto,M1M1V3,1213,43.72262,-79.23744,50.5,3.5,12.6,1.1,0.94,0,0.56,0.9,0,27.03,15.21
Toronto DSB,938173,Richview Collegiate Institute,English,1738 Islington,Etobicoke,M9A3N2,971,43.67861,-79.53983,22,SP,11.4,2.2,0.85,-4,0.38,0.92,-2,18.06,17.94
Toronto DSB,939080,Riverdale Collegiate Institute,English,1094 Gerrard,Toronto,M4M2A1,1129,43.67004,-79.33485,41,1.2,20.8,1,0.86,2,0.33,0.85,0,28.16,6.84
Toronto DSB,898910,Rosedale Heights School of the Arts,English,711 Bloor,Toronto,M4W1J4,985,43.67393,-79.366,9.8,SP,23.5,5.7,0.81,1,0.52,0.96,2,22.87,11.09
Toronto DSB,939609,Runnymede Collegiate Institute,English,569 Jane,Toronto,M6S4A3,734,43.66332,-79.48955,40.9,6.3,20.6,SP,0.62,9,0.1,0.73,3,33.99,6.97
Toronto DSB,949744,SATEC @ W A Porter Collegiate Institute,English,40 Fairfax,Scarborough,M1L1Z9,1249,43.71659,-79.28726,66,5.5,10.2,1.2,0.9,-5,0.32,0.9,1,30.3,18.02
Toronto DSB,940445,Scarborough Centre for Alternative Studi,English,720 Midland,Toronto,M1K4C9,375,43.72815,-79.25665,38.4,12.3,27.2,SP,NA,NA,NA,N/D,NA,33.35,11.65
Toronto DSB,940518,Scarlett Heights Entrepreneurial Academy,English,15 Trehorne,Toronto,M9P1N8,227,43.68963,-79.5313,49.3,7,19.8,NA,0.1,-35,0.15,0.6,-16,36.86,11.98
Toronto DSB,940623,School of Experiential Education,English,40 McArthur,Toronto,M9P3M7,47,43.70147,-79.54668,SP,NA,36.2,SP,N/R,NA,N/R,N/R,NA,27.69,SP
Toronto DSB,940720,School of Life Experience,English,24 Mountjoy,Toronto,M4J1J6,133,43.68078,-79.33058,12.8,SP,19.5,NA,NA,NA,NA,N/D,NA,26.5,13.42
Toronto DSB,936669,SEED Alternative,English,885 Dundas,Toronto,M4M2G3,101,43.66203,-79.35024,13.9,NA,38.6,SP,NA,NA,NA,N/D,NA,25.22,11.97
Toronto DSB,941425,Silverthorn Collegiate Institute,English,291 Mill,Etobicoke,M9C1Y5,864,43.63783,-79.58038,43.4,3.2,19.9,SP,0.82,0,0.2,0.79,-3,21.28,15.76
Toronto DSB,941948,Sir John A Macdonald Collegiate Institute,English,2300 Pharmacy,Toronto,M1W1H8,1064,43.78707,-79.32366,61.6,7.4,16.2,SP,0.91,8,0.67,0.89,3,25.89,21.25
Toronto DSB,941972,Sir Oliver Mowat Collegiate Institute,English,5400 Lawrence,Toronto,M1C2C6,1097,43.77929,-79.14223,19.1,2.2,20.6,1.5,0.77,-6,0.27,0.83,3,14.71,22.88
Toronto DSB,942200,Sir Wilfrid Laurier Collegiate Institute,English,145 Guildwood,Toronto,M1E1P5,1413,43.74703,-79.19698,48.1,6.2,18.8,1.6,0.79,3,0.22,0.73,-8,29.56,11.98
Toronto DSB,942367,Sir William Osler High School,English,1050 Huntingwood,Toronto,M1S3H5,246,43.79756,-79.28739,48,SP,100,NA,NA,NA,NA,N/D,NA,32.1,15.61
Toronto DSB,960413,South East Year Round Alternative Centre,English,720 Midland Avenue,Toronto,M1K4C9,99,43.72851433,-79.25556643,17.2,SP,37.4,NA,NA,NA,NA,N/D,NA,33.65,11.86
Toronto DSB,944025,St Andrew's Junior High School,English,131 Fenn,North York,M2P1X7,91,43.75168,-79.39022,42.9,SP,14.3,SP,0.85,-5,N/R,NA,NA,22.25,32.56
Toronto DSB,945250,Stephen Leacock Collegiate Institute,English,2450 Birchmount,Toronto,M1T2M5,679,43.78552,-79.30112,63.5,17.2,20,SP,0.95,12,0.42,0.8,10,35.22,20.1
Toronto DSB,946192,Subway Academy I,English,16 Phin,Toronto,M4J3T2,158,43.67913,-79.33662,19,SP,24.1,SP,N/R,NA,N/R,N/R,NA,30.28,11.8
Toronto DSB,946338,Subway Academy II,English,64 Baldwin,Toronto,M5T1L4,106,43.6558,-79.39572,25.5,SP,31.1,SP,NA,NA,NA,N/R,NA,28.77,SP
Toronto DSB,947300,The Student School,English,125 Evelyn,Toronto,M6P3E3,115,43.65667002,-79.47406597,20,NA,20.9,SP,NA,NA,NA,N/D,NA,23.79,11.98
Toronto DSB,947407,Thistletown Collegiate Institute,English,20 Fordwich,Toronto,M9W2T4,603,43.72772,-79.56244,56.7,5.5,23.2,SP,0.72,-8,0.37,0.79,2,30.2,4.71
Toronto DSB,949027,Ursula Franklin Academy,English,146 Glendonwynne,Toronto,M6P3J7,485,43.65709,-79.47457,16.3,SP,18.8,11.5,0.94,0,N/D,0.98,-2,18.94,13.15
Toronto DSB,949221,Vaughan Road Academy,English,529 Vaughan,Toronto,M6C2R1,285,43.69101,-79.43669,41.1,13.3,17.5,SP,0.75,10,0.29,0.81,9,24.69,7.21
Toronto DSB,949353,Victoria Park Collegiate Institute,English,15 Wallingford,Toronto,M3A2V1,1381,43.75605,-79.32145,53.6,6.4,20.9,7.1,0.88,-2,0.23,0.86,-2,30.68,15.75
Toronto DSB,928852,West End Alternative School,English,777 Bloor,Toronto,M6G1L6,77,43.66242,-79.41982,15.6,SP,33.8,NA,NA,NA,NA,N/R,NA,28.79,SP
Toronto DSB,951560,West Hill Collegiate Institute,English,350 Morningside,Toronto,M1E3G3,733,43.77566,-79.19058,37.9,10.4,27.4,SP,0.69,19,0.21,0.68,-5,28.83,6.64
Toronto DSB,951749,West Humber Collegiate Institute,English,1675 Martin Grove,Toronto,M9V3S3,1001,43.73092,-79.5867,54.1,5.2,22.5,SP,0.88,1,0.37,0.73,0,29.08,7.01
Toronto DSB,951951,Western Technical & Commercial School,English,125 Evelyn,Toronto,M6P3E3,1040,43.65709,-79.47457,29.6,9.6,40.7,9.9,0.71,-9,0.18,0.72,7,26.01,9.78
Toronto DSB,952605,Weston Collegiate Institute,English,100 Pine,Toronto,M9N2Y9,874,43.70381,-79.50941,50.7,12.6,21.1,SP,0.44,-5,0.18,0.65,0,32.65,5.67
Toronto DSB,952818,Westview Centennial Secondary School,English,755 Oakdale,Toronto,M3N1W7,939,43.75239,-79.52508,49.3,11.3,30.1,SP,0.51,-9,0.04,0.39,-19,38.28,1.24
Toronto DSB,952990,Wexford Collegiate School for the Arts,English,1176 Pharmacy,Toronto,M1R2H7,1120,43.74615,-79.30678,29.4,3.7,21,0.9,0.72,9,0.33,0.81,-3,26.31,9.82
Toronto DSB,950130,William Lyon Mackenzie Collegiate Institute,English,20 Tillplain,Toronto,M3H5R2,1269,43.75346,-79.46188,51.6,10.1,36.5,24,0.93,3,0.64,0.9,-5,23.02,12.53
Toronto DSB,953725,Windfields Junior High School,English,375 Banbury,Toronto,M2L2V2,142,43.75599,-79.37061,50.7,14.8,8.5,SP,0.88,-3,0.4,NA,NA,24.05,32.33
Toronto DSB,954039,Winston Churchill Collegiate Institute,English,2239 Lawrence,Toronto,M1P2P7,624,43.74807,-79.27799,54.8,13.3,21.2,SP,0.8,7,0.27,0.69,4,33.65,13.87
Toronto DSB,954160,Woburn Collegiate Institute,English,2222 Ellesmere,Toronto,M1G3M3,1060,43.77816,-79.22845,65.3,6.8,23.8,12,0.72,-11,0.27,0.79,-4,32.02,17.15
Toronto DSB,954640,York Humber High School,English,100 Emmett,Toronto,M6M2E6,225,43.68841,-79.50607,32.9,SP,99.6,NA,N/R,NA,N/R,N/R,NA,34.27,6.17
Toronto DSB,954683,York Memorial Collegiate Institute,English,2690 Eglinton,Toronto,M6M1T9,895,43.69025,-79.47632,55.8,2.8,15.6,1.3,0.56,-9,0.1,0.8,-2,29.87,3.68
Toronto DSB,954810,York Mills Collegiate Institute,English,490 York Mills,Toronto,M3B1W6,1035,43.75152,-79.37351,54.9,12.7,7.3,1.4,NA,NA,NA,0.91,-3,23.34,30.93
Toronto DSB,954942,Yorkdale Secondary School,English,38 Orfus,Toronto,M6A1L6,387,43.72012,-79.45935,60.7,30.5,20.4,NA,NA,NA,NA,N/D,NA,29.5,9.51
Trillium Lakelands DSB,895660,Bracebridge and Muskoka Lakes Secondary School,English,100 Clear Brook Trail,Bracebridge,P1L0A3,864,45.06551,-79.32722,SP,SP,28.4,NA,0.9,-2,0.6,0.84,1,14.79,8.22
Trillium Lakelands DSB,909700,Fenelon Falls Secondary School,English,66 Lindsay,Fenelon Falls,K0M1N0,708,44.53226,-78.739,SP,SP,36.4,NA,0.71,-3,0.29,0.7,-14,20.75,SP
Trillium Lakelands DSB,914380,Gravenhurst High School,English,325 Mary,Gravenhurst,P1P1X7,318,44.91698,-79.37589,SP,SP,36.8,NA,0.94,-6,0.81,0.81,4,24.68,SP
Trillium Lakelands DSB,915297,Haliburton Highland Secondary School,English,5358 County Rd,Haliburton,K0M1S0,460,45.0432,-78.52361,SP,NA,31.5,SP,0.72,-23,0.49,0.64,-20,21.29,2.23
Trillium Lakelands DSB,917761,Huntsville High School,English,58 Brunel,Huntsville,P1H2A2,911,45.32249,-79.21436,1.4,SP,31.7,NA,0.75,-3,0.4,0.78,-8,18.7,SP
Trillium Lakelands DSB,918130,I E Weldon Secondary School,English,24 Weldon,Lindsay,K9V4R4,1101,44.35966,-78.71609,1.5,SP,27.4,SP,0.85,-2,0.57,0.87,6,17.16,4.23
Trillium Lakelands DSB,922838,Lindsay Collegiate and Vocational Institute,English,260 Kent,Lindsay,K9V2Z5,737,44.35335,-78.74738,SP,SP,30.1,NA,0.65,-13,0.78,0.75,-4,18.03,4.2
Trillium Lakelands DSB,890170,Trillium Lakelands' AETC's,English,230 Angeline,Lindsay,K9V4R2,1035,45.04095,-79.31807,4.2,SP,7.9,NA,NA,NA,NA,0.21,-51,21.25,6.92
Upper Canada DSB,891630,Almonte District High School,English,126 Martin,Almonte,K0A1A0,357,45.23164,-76.19611,SP,NA,24.1,SP,0.65,-10,0.18,0.81,10,13.4,12.66
Upper Canada DSB,892807,Athens District High School,English,21 Church,Athens,K0E1B0,162,44.62526,-75.94733,6.8,NA,26.5,NA,0.68,36,0.17,0.76,9,18.53,SP
Upper Canada DSB,896578,Brockville Collegiate Institute,English,90 Pearl,Brockville,K6V1P8,498,44.59573,-75.68215,13.3,SP,24.9,2.2,0.82,-1,0.25,0.85,0,19.84,SP
